C0000742	阿贝尔森白血病病毒###ET###MSH [SEP] 阿贝尔森白血病病毒###PT###CSP [SEP] 阿贝尔森小鼠白血病病毒###EQ###NCBI [SEP] 阿贝尔森小鼠白血病病毒###ET###CSP [SEP] 阿贝尔森小鼠白血病病毒###MH###MSH [SEP] 阿贝尔森小鼠白血病病毒###PT###NCI [SEP] 阿贝尔森小鼠白血病病毒###SCN###NCBI [SEP] 阿贝尔森病毒###ET###CSP [SEP] 白血病病毒###PM###MSH [SEP] 阿贝尔森白血病病毒###PM###MSH
C5126087	单纯分枝杆菌噬菌体###SCN###NCBI
C5126172	拟杆菌噬菌体水华###SCN###NCBI
C5126182	牛血清相关环状病毒###SCN###NCBI
C5126276	Gila monster相关Gemycyclarv病毒###SCN###NCBI
C5126286	节杆菌噬菌体Courtney3###SCN###NCBI
C5126288	乳球菌噬菌体3R07S###SCN###NCBI
C5126291	北美沙粒病毒株B0940005###SCN###NCBI
C5126333	根瘤菌噬菌体RHph_I1_23###SCN###NCBI
C5126334	根瘤菌噬菌体RHph_TM30###SCN###NCBI
C5126346	马托纳病毒科###SCN###NCBI
C5126347	更好的Katzv病毒###SCN###NCBI
C5126348	德马斯病毒###SCN###NCBI
C5126349	凯罗萨林病毒###SCN###NCBI
C5126350	粘液瘤病毒###SCN###NCBI
C5126351	Priunavirus###SCN###NCBI
C5126352	Sogarnavirus###SCN###NCBI
C5126355	无色杆菌噬菌体JWDelta###SCN###NCBI
C5126361	温泉病毒BHS1###SCN###NCBI
C5126394	矮牵牛有丝分裂病毒1###SCN###NCBI
C5126396	Lepeophtheirus病毒LS24###SCN###NCBI
C5126461	气单胞菌病毒###SCN###NCBI
C5126462	阿斯塔纳病毒###SCN###NCBI
C5126463	卡乔埃拉·波特埃拉正布尼亚病毒###SCN###NCBI
C5126464	肠球菌病毒phiSHEF4###SCN###NCBI
C5126465	大肠杆菌病毒slur04###SCN###NCBI
C5126466	戈尔多尼亚病毒布兰登K123###SCN###NCBI
C5126470	丙酸杆菌噬菌体PAC4###SCN###NCBI
C5126605	辣椒内病毒1型###SCN###NCBI
C5126615	欧芹严重特技3###SCN###NCBI
C5126641	多小蜂科。###SCN###NCBI
C5126742	静脉病毒Strandja-BG2012-GI-STRINCT###SCN###NCBI
C5126857	链球菌卫星噬菌体Javan12###SCN###NCBI
C5126860	克雷伯菌噬菌体ST258-KPC3phi16。2.###SCN###NCBI
C5126873	蝙蝠乳头瘤病毒###SCN###NCBI
C5126889	噬藻体KLS-18###SCN###NCBI
C5126890	噬藻体KLS-75###SCN###NCBI
C5126937	链球菌卫星噬菌体Javan283###SCN###NCBI
C5126938	链球菌卫星噬菌体Javan468###SCN###NCBI
C5126939	克雷伯菌噬菌体ST405-OXA48phi1。3.###SCN###NCBI
C5126949	丙酸杆菌噬菌体PHL163###SCN###NCBI
C5127033	链球菌卫星噬菌体Javan724###SCN###NCBI
C5127037	噬菌体FAKO05_000032F###SCN###NCBI
C5127041	噬菌体弧菌RS1###SCN###NCBI
C5127147	大肠杆菌噬菌体PA45###SCN###NCBI
C5127166	猎鹰冠状病毒UAE-HKU27###SCN###NCBI
C5127223	阿勒米尔山病毒3###SCN###NCBI
C5127303	噬菌体phi17:2_18###SCN###NCBI
C5127339	关节杆菌噬菌体莫林###SCN###NCBI
C5127391	甲型肝炎病毒###SCN###NCBI
C5127405	接骨木病毒D###SCN###NCBI
C5127406	克罗希病毒B###SCN###NCBI
C5127407	肠道病毒###SCN###NCBI
C5127413	微杆菌噬菌体滴虫###SCN###NCBI
C5127415	链霉菌噬菌体SendItCS###SCN###NCBI
C5127417	轮状病毒1###SCN###NCBI
C5127464	利兹亚纳分支杆菌噬菌体###SCN###NCBI
C5127503	沙门氏菌噬菌体Munch###SCN###NCBI
C5127522	鸡相关呼肠孤病毒1型###SCN###NCBI
C5127523	梅格里维鲁斯D###SCN###NCBI
C5127524	骆驼相关斑点病毒3###SCN###NCBI
C5127562	特内尔多瘤病毒###SCN###NCBI
C5127614	鹿特丹雷帕雷纳病毒###SCN###NCBI
C5127615	明串珠病毒LN25###SCN###NCBI
C5127616	Potamochoreus porcus多瘤病毒1###SCN###NCBI
C5127644	大肠杆菌噬菌体vB_EcoP_R4596###SCN###NCBI
C5127645	韦尼尔病毒###SCN###NCBI
C5127831	马来分枝杆菌噬菌体###SCN###NCBI
C5127842	福米卡加压病毒2###SCN###NCBI
C5127939	肠球菌噬菌体vB_EfaS_Ef5。1.###SCN###NCBI
C5127977	鼠沙病毒###SCN###NCBI
C5128023	不动杆菌噬菌体AM106###SCN###NCBI
C5128146	丝核菌丝核病毒1###SCN###NCBI
C5128172	Gordonia噬菌体Dorito###SCN###NCBI
C5128173	噬菌体分枝杆菌###SCN###NCBI
C5128207	噬菌体DK3###SCN###NCBI
C5128487	狭窄德雷氏菌片段病毒1###SCN###NCBI
C5128488	蛇绿锥虫totivirus 1###SCN###NCBI
C5128521	人乳头瘤病毒219型###SCN###NCBI
C5128526	霍巴特尼泊尔病毒3###SCN###NCBI
C5128527	罗布瓦利蜜蜂病毒1###SCN###NCBI
C5128528	链霉菌噬菌体Yosif###SCN###NCBI
C5128586	鹤飞tombus样病毒1###SCN###NCBI
C5128807	异叶大戟相关宝石环病毒###SCN###NCBI
C5128914	泽塔特病毒###SCN###NCBI
C5128929	单病毒科###SCN###NCBI
C5128930	魟魟科###SCN###NCBI
C5128936	爪哇链球菌噬菌体11###SCN###NCBI
C5128950	皮托病毒LCPAC302###SCN###NCBI
C5129019	爪哇链球菌噬菌体182###SCN###NCBI
C5129020	噬菌体爪哇链球菌252###SCN###NCBI
C5129029	噬菌体爪哇链球菌346###SCN###NCBI
C5129030	噬菌体爪哇链球菌426###SCN###NCBI
C5129031	噬菌体爪哇链球菌464###SCN###NCBI
C5129032	噬菌体爪哇链球菌489###SCN###NCBI
C5129033	噬菌体爪哇链球菌510###SCN###NCBI
C5129034	噬菌体爪哇链球菌530###SCN###NCBI
C5129063	不动杆菌噬菌体vB_AbaM_IME512###SCN###NCBI [SEP] 不动杆菌噬菌体vB_KpnM_IME512###EQ###NCBI
C5129127	噬菌体爪哇链球菌616###SCN###NCBI
C5129128	噬菌体爪哇链球菌8###SCN###NCBI
C5129139	噬菌体分枝杆菌###SCN###NCBI
C5129140	银杏分枝杆菌噬菌体###SCN###NCBI
C5129141	ShiaLabeouf分支杆菌噬菌体###SCN###NCBI
C5129144	纳利布基病毒###EQ###NCBI [SEP] 阴谋病毒###SCN###NCBI
C5129145	巴特斯病毒###SCN###NCBI
C5129284	Hipoen-jatkoon病毒###SCN###NCBI
C5129285	分枝杆菌噬菌体Gex###SCN###NCBI
C5129286	噬菌体分枝杆菌###SCN###NCBI
C5129315	胡萨病毒VSAD###SCN###NCBI
C5129452	未分类病毒###SCN###NCBI
C5129507	大肠杆菌噬菌体病毒###SCN###NCBI
C5129509	链霉菌噬菌体Gilson###SCN###NCBI
C5129706	类杆菌噬菌体crAss001###SCN###NCBI
C5129833	沙门氏菌噬菌体SPFM20###SCN###NCBI
C5129913	分枝杆菌噬菌体Morizzled23###SCN###NCBI
C5130058	Arracacha潜伏病毒C###SCN###NCBI
C5130060	红三叶卡拉病毒A###SCN###NCBI
C5130079	戈尔多尼亚噬菌体海象###SCN###NCBI
C5130080	噬菌体银叶分枝杆菌###SCN###NCBI
C5130093	新相α杆状病毒###SCN###NCBI
C5130257	分枝杆菌噬菌体Henu1###SCN###NCBI
C5130327	大肠杆菌噬菌体vB_EcoM_LMP25###SCN###NCBI
C5130422	未分类的双病毒亚科###SCN###NCBI
C5130423	链霉菌噬菌体RosaAsantewaa###SCN###NCBI
C5130533	库蚊病毒4###SCN###NCBI
C5130534	库蚊湖北样病毒###SCN###NCBI
C5130635	葡萄球菌噬菌体SA1014Rumsast7###SCN###NCBI
C5130797	蜜蜂相关微病毒38###SCN###NCBI
C5130798	蜜蜂相关微病毒7###SCN###NCBI
C5130832	多年生黑麦草汞齐病毒1###SCN###NCBI
C5130841	Avocet小核糖核酸病毒###SCN###NCBI
C5131054	噬菌体NGI4###SCN###NCBI
C5131181	海鹦乳头瘤病毒1###SCN###NCBI
C5131333	非洲沙蚕IFLAVIS 1病毒###SCN###NCBI
C5131445	阿西奥-奥特斯疱疹病毒###SCN###NCBI
C5131579	大肠杆菌噬菌体L27###SCN###NCBI
C5131818	噬菌体链球菌CHPC1067###SCN###NCBI
C5131819	噬菌体链球菌CHPC928###SCN###NCBI
C5131848	未分类沙巴病毒###SCN###NCBI
C5131866	果胶杆菌噬菌体Nobby_B3###SCN###NCBI
C5131969	爪哇伊莎病毒###SCN###NCBI
C5131970	李斯特菌病毒LMTA34###SCN###NCBI
C5131971	微杆菌病毒曲###SCN###NCBI
C5131972	假单胞菌病毒E215###SCN###NCBI
C5131973	假单胞菌病毒Psa374###SCN###NCBI
C5131974	沙门氏菌病毒FSLSP004###SCN###NCBI
C5131977	噬菌体卡夫分支杆菌###SCN###NCBI
C5131978	FugateOSU噬菌体分枝杆菌###SCN###NCBI
C5132009	大西洋鲑鱼巴芬病毒###SCN###NCBI
C5132029	志贺菌噬菌体SfPhi01###SCN###NCBI
C5132046	座头鲸打击相关circo样病毒1###SCN###NCBI
C5132150	克雷伯菌噬菌体vB_KpnM_FZ14###SCN###NCBI
C5132152	分枝杆菌噬菌体###SCN###NCBI
C5132153	分枝杆菌噬菌体ThreeRngTarjay###SCN###NCBI
C5132192	大肠杆菌噬菌体OLB35###SCN###NCBI
C5132359	大豆菌核病毒1###SCN###NCBI
C5132360	特维奥特副红疹病毒###SCN###NCBI [SEP] 特维奥特红疹病毒###SY###NCBI
C5132361	耶尔森氏菌病毒Yen9-04###SCN###NCBI
C5132408	巴西潘多拉病毒###SCN###NCBI
C5132447	巴纳鱼噬菌体分枝杆菌###SCN###NCBI
C5132586	沙门氏菌噬菌体S117###SCN###NCBI
C5132598	食根性透明丝裂病毒4###SCN###NCBI
C5132821	萨格雷阿诺利斯腺病毒6###SCN###NCBI
C5133135	假单胞菌噬菌体vB_Pae_BR243a###SCN###NCBI
C5133136	假单胞菌噬菌体vB_Pae_CF177a###SCN###NCBI
C5133202	未分类巴士底病毒科###SCN###NCBI
C5133361	关节杆菌噬菌体###SCN###NCBI
C5133364	大肠杆菌噬菌体PGN829。1.###SCN###NCBI
C5133455	关节杆菌噬菌体铜###SCN###NCBI
C5133456	沃尔福德链霉菌噬菌体###SCN###NCBI
C5133749	梅迪斯双极体病毒1###SCN###NCBI
C5134034	人参病毒1###SCN###NCBI
C5134310	山羊星状病毒###SCN###NCBI
C5134327	钩端螺旋体噬菌体LE4###SCN###NCBI
C5134328	噬菌体弧菌vB_VpaS_KF6###SCN###NCBI
C5134357	关节杆菌噬菌体Arby###SCN###NCBI
C5134521	辐射埃克洛尼亚相关病毒3###SCN###NCBI
C5134861	莱恩皮切马-胡米尔多头病毒2###SCN###NCBI
C5135433	噬菌体phiQ1乳球菌###SCN###NCBI
C5135459	罗氏菌核镰刀菌病毒2###SCN###NCBI
C5141341	病毒株###CN###LNC [SEP] 病毒株###LPDN###LNC [SEP] 病毒株###LPN###LNC
C5145344	腺病毒B+C+E###LPDN###LNC [SEP] 腺病毒B+C+E###LPN###LNC
C5145345	腺病毒F（40+41）###LPDN###LNC
C5146608	肠病毒A+B+C###LPDN###LNC [SEP] 肠病毒A+B+C###LPN###LNC
C5147435	人博卡病毒1+2+3###LPDN###LNC [SEP] 人博卡病毒1+2+3###LPN###LNC
C5147436	人冠状病毒229E+NL63###LPDN###LNC [SEP] 人冠状病毒229E+NL63###LPN###LNC
C5147437	人冠状病毒HKU1+OC43###LPDN###LNC [SEP] 人冠状病毒HKU1+OC43###LPN###LNC
C5151808	腺病毒&#x7C；角膜或结膜&#x7C；微生物学###LPDN###LNC
C5151809	腺病毒&#x7C；下呼吸道标本#x7C；微生物学###LPDN###LNC
C5151810	腺病毒&#x7C；凳子和#x7C；微生物学###LPDN###LNC
C5151811	腺病毒&#x7C；上呼吸道标本#x7C；微生物学###LPDN###LNC
C5151812	腺病毒&#x7C；尿液和#x7C；微生物学###LPDN###LNC
C5151813	腺病毒&#x7C；XXX和#x7C；微生物学###LPDN###LNC
C5151820	腺病毒40+41&#x7C；凳子和#x7C；微生物学###LPDN###LNC
C5151880	腺病毒型&#x7C；XXX和#x7C；微生物学###LPDN###LNC
C5151881	腺病毒+轮状病毒&#x7C；凳子和#x7C；微生物学###LPDN###LNC
C5151933	杀鲑气单胞菌血清型#x7C；隔离和#x7C；微生物学###LPDN###LNC
C5151951	非洲马病病毒血清型#x7C；血清和#x7C；微生物学###LPDN###LNC
C5151952	非洲马病病毒血清型#x7C；XXX和#x7C；微生物学###LPDN###LNC
C5153743	星状病毒&#x7C；凳子和#x7C；微生物学###LPDN###LNC
C5153856	禽传染性喉气管炎病毒；气管和#x7C；微生物学###LPDN###LNC
C5153857	禽传染性喉气管炎病毒；XXX和#x7C；微生物学###LPDN###LNC
C5153869	禽副粘病毒&#x7C；XXX和#x7C；微生物学###LPDN###LNC
C5153870	禽副粘病毒1和x7C；XXX和#x7C；微生物学###LPDN###LNC
C5153875	禽副粘病毒1亚型#x7C；隔离和#x7C；微生物学###LPDN###LNC
C5153883	禽痘病毒&#x7C；组织和涂片&#x7C；微生物学###LPDN###LNC
C5155113	BK病毒亚型#x7C；血液和#x7C；微生物学###LPDN###LNC
C5155114	BK病毒亚型#x7C；血清或血浆&#x7C；微生物学###LPDN###LNC
C5155115	BK病毒亚型#x7C；组织和涂片&#x7C；微生物学###LPDN###LNC
C5155116	BK病毒亚型#x7C；尿液和#x7C；微生物学###LPDN###LNC
C5155117	BK病毒亚型#x7C；XXX和#x7C；微生物学###LPDN###LNC
C5155428	蓝舌病病毒&#x7C；XXX和#x7C；微生物学###LPDN###LNC
C5155812	牛腹泻病毒&#x7C；血清和#x7C；微生物学###LPDN###LNC
C5155842	牛白血病病毒&#x7C；血液和#x7C；微生物学###LPDN###LNC
C5156470	杯状病毒&#x7C；凳子和#x7C；微生物学###LPDN###LNC
C5156740	山羊关节炎脑炎病毒&#x7C；XXX和#x7C；微生物学###LPDN###LNC
C5156748	山羊痘病毒&#x7C；组织和涂片&#x7C；微生物学###LPDN###LNC
C5161725	巨细胞病毒&#x7C；羊水#x7C；微生物学###LPDN###LNC
C5161726	巨细胞病毒&#x7C；肛门和#x7C；微生物学###LPDN###LNC
C5161727	巨细胞病毒&#x7C；血液和#x7C；微生物学###LPDN###LNC
C5161728	巨细胞病毒&#x7C；体液&#x7C；微生物学###LPDN###LNC
C5161729	巨细胞病毒&#x7C；骨髓和#x7C；微生物学###LPDN###LNC
C5161730	巨细胞病毒&#x7C；支气管和#x7C；微生物学###LPDN###LNC
C5161731	巨细胞病毒&#x7C；脑脊髓液&#x7C；微生物学###LPDN###LNC
C5161732	巨细胞病毒&#x7C；下呼吸道标本#x7C；微生物学###LPDN###LNC
C5161733	#C和巨细胞病毒；眼液#x7C；微生物学###LPDN###LNC
C5161734	巨细胞病毒&#x7C；组织和涂片&#x7C；微生物学###LPDN###LNC
C5161735	巨细胞病毒&#x7C；尿液和#x7C；微生物学###LPDN###LNC
C5161736	巨细胞病毒&#x7C；XXX和#x7C；微生物学###LPDN###LNC
C5161771	巨细胞病毒糖蛋白基因型#x7C；XXX和#x7C；微生物学###LPDN###LNC
C5162920	鸭肠炎病毒&#x7C；组织和涂片&#x7C；微生物学###LPDN###LNC
C5163255	脑心肌炎病毒&#x7C；组织和涂片&#x7C；微生物学###LPDN###LNC
C5163390	肠道病毒&#x7C；XXX和#x7C；微生物学###LPDN###LNC
C5163427	肠道病毒sp和#x7C；隔离和#x7C；微生物学###LPDN###LNC
C5163428	肠道病毒亚型#x7C；XXX和#x7C；微生物学###LPDN###LNC
C5163624	马动脉炎病毒&#x7C；血液和#x7C；微生物学###LPDN###LNC
C5164391	猫白血病前病毒&#x7C；XXX和#x7C；微生物学###LPDN###LNC
C5164905	口蹄疫病毒血清型#x7C；血清和#x7C；微生物学###LPDN###LNC
C5164906	口蹄疫病毒血清型#x7C；组织和涂片&#x7C；微生物学###LPDN###LNC
C5164907	口蹄疫病毒血清型#x7C；XXX和#x7C；微生物学###LPDN###LNC
C5166804	乙型肝炎病毒基因型#x7C；血清或血浆&#x7C；微生物学###LPDN###LNC
C5166883	丁型肝炎病毒基因型#x7C；XXX和#x7C；微生物学###LPDN###LNC
C5166890	戊型肝炎病毒基因型#x7C；血液和#x7C；微生物学###LPDN###LNC
C5166956	单纯疱疹病毒1和x7C；肛门和#x7C；微生物学###LPDN###LNC
C5166957	单纯疱疹病毒1和x7C；宫颈和#x7C；微生物学###LPDN###LNC
C5166958	单纯疱疹病毒1和x7C；生殖器和#x7C；微生物学###LPDN###LNC
C5166959	单纯疱疹病毒1和x7C；隔离和#x7C；微生物学###LPDN###LNC
C5166960	单纯疱疹病毒1和x7C；皮肤和#x7C；微生物学###LPDN###LNC
C5166961	单纯疱疹病毒1和x7C；喉部#x7C；微生物学###LPDN###LNC
C5166962	单纯疱疹病毒1和x7C；阴道和#x7C；微生物学###LPDN###LNC
C5166963	单纯疱疹病毒1和x7C；XXX和#x7C；微生物学###LPDN###LNC
C5167042	单纯疱疹病毒2和x7C；肛门和#x7C；微生物学###LPDN###LNC
C5167043	单纯疱疹病毒2和x7C；宫颈和#x7C；微生物学###LPDN###LNC
C5167044	单纯疱疹病毒2和x7C；生殖器和#x7C；微生物学###LPDN###LNC
C5167045	单纯疱疹病毒2和x7C；隔离和#x7C；微生物学###LPDN###LNC
C5167046	单纯疱疹病毒2和x7C；皮肤和#x7C；微生物学###LPDN###LNC
C5167047	单纯疱疹病毒2和x7C；喉部#x7C；微生物学###LPDN###LNC
C5167048	单纯疱疹病毒2和x7C；阴道和#x7C；微生物学###LPDN###LNC
C5167049	单纯疱疹病毒2和x7C；XXX和#x7C；微生物学###LPDN###LNC
C5167445	HIV 1和#x7C；血清和#x7C；微生物学###LPDN###LNC
C5167446	HIV 1和#x7C；血清或血浆&#x7C；微生物学###LPDN###LNC
C5167533	HIV 1前病毒DNA基因型#x7C；血单个核细胞#x7C；抗生素敏感性###LPDN###LNC
C5167616	HIV基因型#x7C；隔离和#x7C；抗生素敏感性###LPDN###LNC
C5168233	HTLV和#x7C；血清或血浆&#x7C；微生物学###LPDN###LNC
C5168366	人类偏肺病毒基因型&#x7C；XXX和#x7C；微生物学###LPDN###LNC
C5168484	人乳头瘤病毒基因型#x7C；生殖器和#x7C；微生物学###LPDN###LNC
C5168485	人乳头瘤病毒基因型#x7C；组织和涂片&#x7C；微生物学###LPDN###LNC
C5168486	人乳头瘤病毒基因型#x7C；XXX和#x7C；微生物学###LPDN###LNC
C5169058	传染性支气管炎病毒&#x7C；组织和涂片&#x7C；微生物学###LPDN###LNC
C5169059	传染性支气管炎病毒&#x7C；XXX和#x7C；微生物学###LPDN###LNC
C5169069	传染性支气管炎病毒血清型#x7C；隔离和#x7C；微生物学###LPDN###LNC
C5169091	流感病毒A和x7C；XXX和#x7C；微生物学###LPDN###LNC
C5169260	流感病毒B和x7C；XXX和#x7C；微生物学###LPDN###LNC
C5171491	块状皮肤病病毒&#x7C；组织和涂片&#x7C；微生物学###LPDN###LNC
C5172114	马立克氏病病毒血清型#x7C；组织和涂片&#x7C；微生物学###LPDN###LNC
C5172277	麻疹病毒&#x7C；下呼吸道标本#x7C；微生物学###LPDN###LNC
C5172278	麻疹病毒&#x7C；上呼吸道标本#x7C；微生物学###LPDN###LNC
C5172279	麻疹病毒&#x7C；XXX和#x7C；微生物学###LPDN###LNC
C5173739	腮腺炎病毒&#x7C；上呼吸道标本#x7C；微生物学###LPDN###LNC
C5173740	腮腺炎病毒&#x7C；XXX和#x7C；微生物学###LPDN###LNC
C5173758	腮腺炎病毒基因型&#x7C；XXX和#x7C；微生物学###LPDN###LNC
C5175024	诺沃克病毒&#x7C；凳子和#x7C；微生物学###LPDN###LNC
C5175557	正痘病毒&#x7C；皮肤和#x7C；微生物学###LPDN###LNC
C5176102	副流感病毒1和x7C；XXX和#x7C；微生物学###LPDN###LNC
C5176131	副流感病毒2和x7C；XXX和#x7C；微生物学###LPDN###LNC
C5176151	副流感病毒3和x7C；XXX和#x7C；微生物学###LPDN###LNC
C5177300	小核糖核酸病毒&#x7C；凳子和#x7C；微生物学###LPDN###LNC
C5177839	猪圆环病毒2型和x7C；XXX和#x7C；微生物学###LPDN###LNC
C5177858	猪deltacoronavirus&#x7C；XXX和#x7C；微生物学###LPDN###LNC
C5177864	猪流行性腹泻病毒；组织和涂片&#x7C；微生物学###LPDN###LNC
C5177865	猪流行性腹泻病毒；XXX和#x7C；微生物学###LPDN###LNC
C5177883	猪细小病毒&#x7C；XXX和#x7C；微生物学###LPDN###LNC
C5177889	猪繁殖与呼吸综合征病毒&#x7C；XXX和#x7C；微生物学###LPDN###LNC
C5177903	猪sapelovirus&#x7C；XXX和#x7C；微生物学###LPDN###LNC
C5177905	猪teschovirus&#x7C；XXX和#x7C；微生物学###LPDN###LNC
C5178704	伪狂犬病病毒&#x7C；XXX和#x7C；微生物学###LPDN###LNC
C5179113	狂犬病病毒&#x7C；大脑&#x7C；微生物学###LPDN###LNC
C5179455	呼吸道合胞病毒&#x7C；鼻子和#x7C；微生物学###LPDN###LNC
C5179456	呼吸道合胞病毒&#x7C；XXX和#x7C；微生物学###LPDN###LNC
C5179478	呼吸道合胞病毒基因型&#x7C；XXX和#x7C；微生物学###LPDN###LNC
C5179651	鼻病毒血清型#x7C；XXX和#x7C；微生物学###LPDN###LNC
C5179928	轮状病毒&#x7C；凳子和#x7C；微生物学###LPDN###LNC
C5179929	轮状病毒A和x7C；XXX和#x7C；微生物学###LPDN###LNC
C5179945	轮状病毒C&#x7C；XXX和#x7C；微生物学###LPDN###LNC
C5179993	风疹病毒基因型#x7C；XXX和#x7C；微生物学###LPDN###LNC
C5180167	圣路易斯脑炎病毒；XXX和#x7C；微生物学###LPDN###LNC
C5180353	SARS冠状病毒#x7C；XXX和#x7C；微生物学###LPDN###LNC
C5180614	Senecavirus A和#x7C；XXX和#x7C；微生物学###LPDN###LNC
C5183626	托罗病毒&#x7C；凳子和#x7C；微生物学###LPDN###LNC
C5184304	火鸡肠炎冠状病毒#x7C；血清和#x7C；微生物学###LPDN###LNC
C5184825	水痘带状疱疹病毒；角膜或结膜&#x7C；微生物学###LPDN###LNC
C5184826	水痘带状疱疹病毒；下呼吸道标本#x7C；微生物学###LPDN###LNC
C5184827	水痘带状疱疹病毒；眼液#x7C；微生物学###LPDN###LNC
C5184828	水痘带状疱疹病毒；XXX和#x7C；微生物学###LPDN###LNC
C5184837	水痘带状疱疹病毒分支#x7C；XXX和#x7C；微生物学###LPDN###LNC
C5184866	水痘带状疱疹病毒ORF28基因型#x7C；隔离和#x7C；抗生素敏感性###LPDN###LNC
C5184867	水痘带状疱疹病毒ORF36基因型#x7C；隔离和#x7C；抗生素敏感性###LPDN###LNC
C5185019	委内瑞拉马脑炎病毒亚型#x7C；XXX和#x7C；微生物学###LPDN###LNC
C5185073	水泡性口炎病毒血清型#x7C；组织和涂片&#x7C；微生物学###LPDN###LNC
C5185074	水泡性口炎病毒血清型#x7C；XXX和#x7C；微生物学###LPDN###LNC
C5185136	兔出血症病毒&#x7C；组织和涂片&#x7C；微生物学###LPDN###LNC
C5201263	AAV2-hRPE65v2###SY###DRUGBANK
C5203676	2019种新型冠状病毒###ET###MSH [SEP] 2019种新型冠状病毒###SY###NCI [SEP] 2019种新型冠状病毒###SY###SNOMEDCT_US [SEP] 新型冠状病毒###PM###MSH [SEP] 2019新型冠状病毒###ET###MSH [SEP] 2019新型冠状病毒###SY###NCI [SEP] 2019新型冠状病毒###SY###NCI_CDISC [SEP] 2019新型冠状病毒###SY###SNOMEDCT_US [SEP] 冠状病毒2，SARS###PM###MSH [SEP] 冠状病毒病2019病毒###ET###MSH [SEP] 新冠病毒###PM###MSH [SEP] 冠状病毒，武汉###PM###MSH [SEP] 新冠病毒19###PM###MSH [SEP] 病毒2019冠状病毒疾病###ET###MSH [SEP] 2019冠状病毒疾病病毒###SY###NCI [SEP] 病毒2019冠状病毒疾病###SY###NCI_CDISC [SEP] 病毒2019冠状病毒疾病###PM###MSH [SEP] 新冠病毒###ET###MSH [SEP] 新冠病毒###PM###MSH [SEP] HCoV-19###SY###NCI [SEP] 2019年人类冠状病毒###SY###NCI [SEP] 新型冠状病毒###SY###NCI [SEP] 新型冠状病毒###SY###NCI [SEP] 新型冠状病毒2019###PM###MSH [SEP] SARS冠状病毒2###CN###LNC [SEP] SARS冠状病毒2###DN###NCI_CTRP [SEP] SARS冠状病毒2###ET###MSH [SEP] SARS冠状病毒2###LA###LNC [SEP] SARS冠状病毒2###LPN###LNC [SEP] SARS冠状病毒2###PT###NCI [SEP] SARS冠状病毒2###SY###NCI_CDISC [SEP] SARS冠状病毒2型###PM###MSH [SEP] SARS-2###SY###NCI [SEP] SARS-CoV-2（新冠肺炎）###LPDN###LNC [SEP] SARS-CoV-2病毒###ET###MSH [SEP] SARS-CoV-2病毒###PM###MSH [SEP] SARS冠状病毒2型###MH###MSH [SEP] SARS冠状病毒2型###PN###MTH [SEP] SARS冠状病毒2型###PT###SNOMEDCT_US [SEP] SARS冠状病毒2型###SY###NCI [SEP] SARS冠状病毒2型###SY###NCI_CDISC [SEP] SARS2###SY###NCI [SEP] SARS2###SY###NCI_CDISC [SEP] 严重急性呼吸综合征冠状病毒2（有机体）###FN###SNOMEDCT_US [SEP] 严重急性呼吸系统综合征冠状病毒2型###ET###MSH [SEP] 严重急性呼吸系统综合征冠状病毒2型###PT###NCI_CDISC [SEP] 严重急性呼吸系统综合征冠状病毒2型###SY###NCI [SEP] 严重急性呼吸系统综合征冠状病毒2型###SY###SNOMEDCT_US [SEP] 2019冠状病毒疾病###PM###MSH [SEP] 新冠病毒###PM###MSH [SEP] SARS-CoV-2病毒###PM###MSH [SEP] 新冠病毒###PM###MSH [SEP] 武汉冠状病毒###ET###MSH [SEP] 武汉海鲜市场肺炎病毒###ET###MSH
C5205725	ASP 9801###CCN###NCI [SEP] ASP-9801###CCN###NCI [SEP] ASP9801###CCN###NCI [SEP] 溶瘤病毒ASP9801###DN###NCI_CTRP [SEP] 溶瘤病毒ASP9801###PT###NCI
C5206709	C 134###CCN###NCI [SEP] C-134###CCN###NCI [SEP] C134###CCN###NCI [SEP] C134-HSV-1###SY###NCI [SEP] IRS-1 HSV C134###SY###NCI [SEP] oHSV C134###SY###NCI [SEP] 溶瘤性HSV-1 C134###DN###NCI_CTRP [SEP] 溶瘤性HSV-1 C134###PT###NCI
C5212763	腺病毒A+B+C+D+E###LPDN###LNC [SEP] 腺病毒A+B+C+D+E###LPN###LNC
C5212893	猪星状病毒3型###LPDN###LNC [SEP] 猪星状病毒3型###LPN###LNC
C5214314	病毒株#x7C；隔离和#x7C；微生物学###LPDN###LNC
C5214667	<reportablevirus:相同的微病毒###LG###LNC
C5214668	可报告的Micronon病毒<相同：属+种><汇总：所有其他>###LG###LNC
C5214669	可报告的Micronon病毒<相同：属><汇总：所有其他>###LG###LNC
C5216378	巨细胞病毒&#x7C；PrThr和#x7C；随便###LG###LNC
C5216391	水痘带状疱疹病毒；PrThr和#x7C；随便###LG###LNC
C5218504	腺病毒&#x7C；PrThr和#x7C；Sys:ANYResp###LG###LNC
C5218532	巨细胞病毒&#x7C；PrThr和#x7C；Sys:ANYResp###LG###LNC
C5218564	流感病毒A亚型#x7C；Prid和#x7C；Sys:ANYResp###LG###LNC
C5218579	麻疹病毒&#x7C；PrThr和#x7C；Sys:ANYResp###LG###LNC
C5218658	巨细胞病毒&#x7C；PrThr和#x7C；Sys:ANYGU###LG###LNC
