C0000005	['(131)I-MAA', '(131)I-Macroaggregated Albumin']
C4706805	['Radioisotope labeled somatostatin analog (substance)', 'Radioisotope labeled somatostatin analog', 'Radioisotope labelled somatostatin analogue']
C4707185	['Technetium (99m-Tc) technegas (substance)', 'Technetium (99m-Tc) technegas']
C4707396	['Technetium (99m-Tc) pentavalent succimer (substance)', 'Technetium (99m-Tc) pentavalent succimer', 'technetium (<o>99m</o>Tc) pentavalent succimer']
C4707830	['Indium pentetate calcium (substance)', 'Indium pentetate calcium']
C4708071	['Tumor imaging agent (product)', 'Tumor imaging agent', 'Tumour imaging agent']
C4708072	['Lung imaging agent (product)', 'Lung imaging agent']
C4708074	['Lung ventilation imaging agent (product)', 'Lung ventilation imaging agent']
C4708075	['Bone imaging agent (product)', 'Bone imaging agent']
C4708076	['Brain imaging agent (product)', 'Brain imaging agent']
C4708077	['Lymphatic system imaging agent (product)', 'Lymphatic system imaging agent']
C4708078	['Bone marrow imaging agent (product)', 'Bone marrow imaging agent']
C4708082	['Liver and spleen imaging agent (product)', 'Liver and spleen imaging agent']
C4708083	['Endocrine and exocrine imaging agent (product)', 'Endocrine and exocrine imaging agent']
C4708084	['Endocrine imaging agent (product)', 'Endocrine imaging agent']
C4708085	['Heart and cardiovascular imaging agent (product)', 'Heart and cardiovascular imaging agent']
C4708086	['Myocardial imaging agent (product)', 'Myocardial imaging agent']
C4708087	['Infection and inflammation imaging agent (product)', 'Infection and inflammation imaging agent']
C4708548	['Blood pooling imaging agent (product)', 'Blood pooling imaging agent']
C4708607	['Glacial acetic acid- and oxyquinoline-containing product', 'Product containing glacial acetic acid and oxyquinoline (medicinal product)']
C4708608	['99m-DTPA, Tc', '99m-technetium Diethylenetriaminepentaacetic Acid', '99m-technetium diethylenetriaminepentaacetic acid', 'Tc 99m DTPA', 'Tc 99m-DTPA', 'Tc-99m DTPA', 'Tc-99m-DTPA', 'Tc-DTPA', 'Tc-DTPA', 'tc-dtpa', 'Technetium (99m-Tc) pentetic acid (substance)', 'Technetium (99m-Tc) pentetic acid', 'Technetium diethylenetriamine pentaacetic acid', 'Technetium diethylenetriamine pentaacetic acid', 'Technetium DTPA', 'technetium Tc 99m DTPA', 'Technetium Tc-99m DTPA', 'Technetium Tc-99m DTPA', 'TECHNETIUM TC-99M PENTETIC ACID', 'Technetium Tc-99m Pentetic Acid', 'Technetium-DTPA']
C4721498	['2-acrylamido-2-methyl-1-propanesulfonic acid', '2-acrylamido-2-methyl-1-propanesulfonic acid', '2-ACRYLAMIDO-2-METHYL-1-PROPANESULFONIC ACID']
C4721562	['2-5410-3A', '2-5410-3A']
C4721903	['CYT-500', 'CYT-500']
C4721937	['iodine-131 NP-59']
C4721945	['perflutren (lipid microspheres)', 'Perflutren Lipid Microspheres', 'perflutren lipid microspheres', 'Perflutren Lipid Microspheres', 'perflutren lipid microspheres', 'perflutren, human albumin microspheres']
C4722020	['Alpha-amino-3-hydroxy-5-methyl-4-isoxazolepropionic acid receptor antagonist', 'AMPA receptor antagonist', 'Substance with alpha-amino-3-hydroxy-5-methyl-4-isoxazolepropionic acid receptor antagonist mechanism of action (substance)', 'Substance with alpha-amino-3-hydroxy-5-methyl-4-isoxazolepropionic acid receptor antagonist mechanism of action (substance)']
C4722586	['Zirconium Zr 89 cG250', 'zirconium Zr 89 cG250']
C4722597	['[14C] ASP2215', '[14C] ASP2215']
C4722598	['[14C]-BAY1000394', '[14C]-BAY1000394']
C4722712	['DUPA-99mTc', 'DUPA-99mTc']
C4722720	['AZD2281-BODIPY FL', 'AZD2281-BODIPY FL']
C4722743	['MVT-1075', 'MVT-1075', 'MVT-1075']
C4723167	['VERASENS (GLUCOSE) NORM CNTRL SOLN', 'VERASENS (GLUCOSE) NORMAL CONTROL SOLN']
C4723177	['HARMONY CONTROL (GLUCOSE) HIGH/LOW CONTROL SOLN', 'HARMONY CONTROL(GLUCOSE)HI/LO CNTRL SOLN']
C4723179	['EVENCARE PROVIEW (GLUCOSE) HIGH/LOW CONTROL SOLN', 'EVENCARE PROVIEW(GLUCOSE)HI/LO CNTRL SOL']
C4723181	['CUSTODIOL HTK SOLN', 'CUSTODIOL HTK SOLN']
C4723437	['MANNITOL 10 mg RESPIRATORY (INHALATION) POWDER [Aridol]']
C4723438	['MANNITOL 20 mg RESPIRATORY (INHALATION) POWDER [Aridol]']
C4723439	['MANNITOL 40 mg RESPIRATORY (INHALATION) POWDER [Aridol]']
C4723440	['MANNITOL 5 mg RESPIRATORY (INHALATION) POWDER [Aridol]']
C4723688	['black carpenter ant allergenic extract', 'black carpenter ant allergenic extract', 'Black carpenter ant whole', 'Black carpenter ant', 'Camponotus pennsylvanicus allergenic extract', 'Camponotus pennsylvanicus whole', 'Camponotus pennsylvanicus', 'CAMPONOTUS PENNSYLVANICUS']
C4723831	['CCFA', 'Cycloserine-Cefoxitin Fructose Agar', 'Cycloserine-Cefoxitin Fructose Agar', 'CYCLOSERINE-CEFOXITIN FRUCTOSE AGAR']
C4724863	['89Zr-ABT806', '89Zr-ABT806', '89Zr-labeled ABT-806', '89Zr-labeled ABT-806', 'Zirconium Zr 89 Anti-EGFR Monoclonal Antibody ABT-806', 'zirconium Zr 89-anti-EGFR monoclonal antibody ABT-806']
C4724869	['Fluorescein-conjugated Wisteria floribunda Lectin', 'fluorescein-conjugated Wisteria floribunda lectin', 'Fluorescein-labeled WFA', 'fluorescein-labeled WFA', 'Fluorescein-labeled WFL', 'fluorescein-labeled WFL', 'Fluorescein-labeled Wisteria floribunda Lectin', 'fluorescein-labeled Wisteria floribunda lectin']
C4725067	['Ga-68 P16-093', 'Ga-68 P16-093', 'Ga-68 PSMA-093', 'Ga-68 PSMA-093', 'Ga-68 PSMA-93', 'Ga-68 PSMA-93', 'Gallium Ga 68-P16-093', 'Gallium Ga 68-P16-093', 'gallium Ga 68-P16-093', 'Gallium-68-P16 093', 'gallium-68-P16 093', '[68Ga] HBED-CC-PHENOXY-PSMA', '[68Ga] HBED-CC-PHENOXY-PSMA', '[68Ga]P16-093', '[68Ga]P16-093']
C4725080	['11C-JNJ-63779586', '11C-JNJ-63779586', 'Carbon C 11-JNJ-63779586', 'carbon C 11-JNJ-63779586']
C4725085	['18F-Al-NOTA-MATBBN', '18F-Al-NOTA-MATBBN', 'Fluorine F 18-Al-NOTA-MATBBN', 'fluorine F 18-Al-NOTA-MATBBN']
C4725627	['Tumor mutation burden', 'Tumor mutation burden', 'Tumor mutation burden', 'Tumor Mutation Burden', 'Tumor Mutation Burden', 'Tumor Mutational Burden', 'Tumor Mutational Burden']
C4725687	['Fluorescence Peptide QRH-882260', 'fluorescence peptide QRH-882260', 'Fluorescently-labeled Peptide QRH-882260', 'fluorescently-labeled peptide QRH-882260', 'Imaging Agent QRH-882260 Heptapeptide', 'imaging agent QRH-882260 heptapeptide', 'QRH-882260 Cy-5-labeled Heptapeptide', 'QRH-882260 Cy-5-labeled heptapeptide', 'QRH-882260', 'QRH-882260', 'QRH-882260']
C4725694	['IRDye800CW-labeled Heptapeptide KSP-910638G', 'IRDye800CW-labeled heptapeptide KSP-910638G', 'KSP-910638G Heptapeptide', 'KSP-910638G heptapeptide', 'KSP-910638G', 'KSP-910638G', 'KSP-910638G']
C4725725	['64Cu-DOTA-alendronate', '64Cu-DOTA-alendronate', 'Copper Cu-64-DOTA-alendronate', 'Copper Cu-64-DOTA-alendronate', 'copper Cu-64-DOTA-alendronate', '[64Cu]-DOTA-alendronate', '[64Cu]-DOTA-alendronate']
C4726565	['Fluorescence Imaging Agent IC2000', 'fuorescence imaging agent IC2000', 'IC 2000', 'IC 2000', 'IC2000 fluorescence imaging agent', 'IC2000', 'IC2000']
C4726588	['111In-HuJ591', '111In-J591', '111In-J591', 'In111-HuJ591', 'In111-J591', 'In111-J591', 'Indium In 111 Monoclonal Antibody HuJ591', 'Indium In 111 Monoclonal Antibody HuJ591', 'indium In 111 monoclonal antibody HuJ591']
C4726672	['relmapirazin', 'Relmapirazin', 'RELMAPIRAZIN']
C4726756	['Sodium Arsenate As-74', 'SODIUM ARSENATE AS-74']
C4726776	['Soneclosan', 'SONECLOSAN']
C4726873	['Tisoquone', 'TISOQUONE']
C4726917	['Trofolastat', 'TROFOLASTAT']
C4726922	['Troxolamide', 'TROXOLAMIDE']
C4726930	['Upenazime', 'UPENAZIME']
C4727555	["3'-Aza-2'-[(18)F]fluorofolic Acid", "3'-Aza-2'-[(18)F]fluorofolic acid", 'Fluorine F 18 Azafol', 'fluorine F 18 azafol', '[18F]-azafol', '[18F]-azafol']
C4727585	['HS 196', 'HS 196', 'HS-196', 'HS-196', 'HS196', 'HS196', 'HSP90 Inhibitor-linked NIR Probe HS-196', 'HSP90 inhibitor-linked NIR probe HS-196', 'Near Infrared Imaging Agent HS-196', 'Near Infrared Imaging Agent HS-196', 'near-infrared imaging agent HS-196', 'NIR-tethered Hsp90 Inhibitor HS-196', 'NIR-tethered Hsp90 inhibitor HS-196']
C4727689	['Gln-Arg-His-Lys-Pro-Arg-Glu-Gly-Gly-Gly-Ser-Lys(Cy5)-NH2', 'Gln-Arg-His-Lys-Pro-Arg-Glu-Gly-Gly-Gly-Ser-Lys(Cy5)-NH2', 'QRHKPRE-GGGSK-(Cy5)-NH2', 'QRHKPRE-GGGSK-(Cy5)-NH2']
C4727695	['KSP Heptapeptide', 'KSP heptapeptide']
C4727749	['Sodium Sulfate S-35', 'SODIUM SULFATE S-35']
C4728297	['Tuberous Sclerosis Type 1 (TSC1) Gene Mutation Reagents']
C4728332	['Whole-Genome Sequencing Reagents']
C4728333	['WGS Reagents']
C4728335	['Whole-Exome Sequencing Reagents']
C4728336	['WES Reagents']
C4728337	['Exome Sequencing Reagents']
C4728344	['ABCA4 Deletion/Duplication Detection Reagents']
C4728345	['ATP Binding Cassette Subfamily A Member 4 Deletion/Duplication Detection Reagents']
C4728346	['Age-Related Macular Degeneration (ARMD) Gene Anomaly Detection Reagents']
C4728347	['Age-Related Macular Degeneration 2 (ARMD2) Gene Anomaly Detection Reagents']
C4728348	['Age-Related Maculopathy Gene Anomaly Detection Reagents']
C4728349	['Cone-Rod Dystrophy 3 (CORD3) Gene Anomaly Detection Reagents']
C4728351	['Cone-Rod Retinal Dystrophy Gene Anomaly Detection Reagents']
C4728352	['Juvenile Onset Macular Degeneration Gene Anomaly Detection Reagents']
C4728353	['Macular Dystrophy with Flecks Type 1 Gene Anomaly Detection Reagents']
C4728354	['Retinitis Pigmentosa (RP) Gene Anomaly Detection Reagents']
C4728355	['Retinitis Pigmentosa 19 (RP19) Gene Anomaly Detection Reagents']
C4728356	['Senile Macular Degeneration Gene Anomaly Detection Reagents']
C4728357	['Stargardt Disease 1 (STGD1) Gene Anomaly Detection Reagents']
C4728358	['Stargardt Macular Dystrophy Gene Anomaly Detection Reagents']
C4728359	['ABCC8 Deletion/Duplication Detection Reagents']
C4728360	['ATP Binding Cassette Subfamily C Member 8 Deletion/Duplication Detection Reagents']
C4728361	['Diabetes Mellitus Type 2 Gene Anomaly Detection Reagents']
C4728362	['Dominant Congenital Hyperinsulinism (CH) Gene Anomaly Detection Reagents']
C4728363	['Familial Hyperinsulinemic Hypoglycemia 1 (HHF1) Gene Anomaly Detection Reagents']
C4728364	['Familial Hyperinsulinism with Pancreatic Nesidioblastosis Gene Anomaly Detection Reagents']
C4728365	['Familial Infantile Hypoglycemia Precipitated by Leucine Gene Anomaly Detection Reagents']
C4728366	['Hyperinsulinemic Hypoglycemia Due to Focal Adenomatous Hyperplasia Gene Anomaly Detection Reagents']
C4728367	['Leucine-Induced Hypoglycemia (LIH) Gene Anomaly Detection Reagents']
C4728368	['Leucine-Sensitive Hypoglycemia of Infancy Gene Anomaly Detection Reagents']
C4728369	['Maturity-Onset Diabetes Gene Anomaly Detection Reagents']
C4728370	['Nesidioblastosis of Pancreas Gene Anomaly Detection Reagents']
C4728371	['Noninsulin-Dependent Diabetes Mellitus (NIDDM) Gene Anomaly Detection Reagents']
C4728372	['Permanent Diabetes Mellitus of Infancy Gene Anomaly Detection Reagents']
C4728373	['Permanent Neonatal Diabetes Mellitus (PNDM) Gene Anomaly Detection Reagents']
C4728374	['Persistent Hyperinsulinemia Hypoglycemia of Infancy Gene Anomaly Detection Reagents']
C4728375	['Persistent Hyperinsulinemic Hypoglycemia of Infancy Gene Anomaly Detection Reagents']
C4728376	['Transient Neonatal Diabetes Mellitus 2 (TNDM2) Gene Anomaly Detection Reagents']
C4728377	['Type II Diabetes Mellitus Gene Anomaly Detection Reagents']
C4728378	['ABCD1 Deletion/Duplication Detection Reagents']
C4728379	['ATP Binding Cassette Subfamily D Member 1 Deletion/Duplication Detection Reagents']
C4728380	['Addison Disease and Cerebral Sclerosis Gene Anomaly Detection Reagents']
C4728381	['Adrenoleukodystrophy (ALD) Gene Anomaly Detection Reagents']
C4728382	['Adrenomyeloneuropathy Gene Anomaly Detection Reagents']
C4728383	['Bronze Schilder Disease Gene Anomaly Detection Reagents']
C4728384	['Melanodermic Leukodystrophy Gene Anomaly Detection Reagents']
C4728385	['Siemerling-Creutzfeldt Disease Gene Anomaly Detection Reagents']
C4728386	['X-Linked Adrenoleukodystrophy Gene Anomaly Detection Reagents']
C4728387	['ACADM Deletion/Duplication Detection Reagents']
C4728388	['Acyl-CoA Dehydrogenase, C-4 to C-12 Straight Chain Deletion/Duplication Detection Reagents']
C4728389	['Acyl-CoA Dehydrogenase Medium Chain Deficiency of Gene Anomaly Detection Reagents', 'Medium Chain Acyl CoA Dehydrogenase Deficiency Gene Anomaly Detection Reagents']
C4728390	['Carnitine Deficiency Secondary to Medium-Chain Acyl-CoA Dehydrogenase Deficiency Gene Anomaly Detection Reagents']
C4728391	['Medium-Chain Acyl-Coenzyme A Dehydrogenase Deficiency (MCADD) Gene Anomaly Detection Reagents']
C4728392	['ACADS Deletion/Duplication Detection Reagents']
C4728393	['Acyl-CoA Dehydrogenase, C-2 to C-3 Short Chain Deletion/Duplication Detection Reagents']
C4728394	['Deficiency of Butyryl-CoA Dehydrogenase Gene Anomaly Detection Reagents']
C4728395	['Deficiency of Short-Chain Acyl-CoA Dehydrogenase Gene Anomaly Detection Reagents', 'Short Chain Acyl CoA Dehydrogenase Deficiency Gene Anomaly Detection Reagents']
C4728396	['Lipid-Storage Myopathy Secondary to Short Chain Acyl CoA Dehydrogenase Deficiency Gene Anomaly Detection Reagents']
C4728397	['Short Chain Acyl-CoA Dehydrogenase (SCAD) Deficiency Gene Anomaly Detection Reagents']
C4728398	['ACADVL Deletion/Duplication Detection Reagents']
C4728399	['Acyl-Coa Dehydrogenase, Very Long Chain Deletion/Duplication Detection Reagents']
C4728400	['Deficiency of Very Long-Chain Acyl-CoA Dehydrogenase Gene Anomaly Detection Reagents']
C4728401	['Long Chain Acyl-CoA Dehydrogenase Deficiency Gene Anomaly Detection Reagents']
C4728402	['Very Long Chain Acyl-CoA Dehydrogenase (VLCAD) Deficiency Gene Anomaly Detection Reagents']
C4728403	['Very Long Chain Acyl-Coenzyme A Dehydrogenase Deficiency Gene Anomaly Detection Reagents']
C4728404	['ACE Deletion/Duplication Detection Reagents']
C4728405	['Angiotensin I Converting Enzyme Deletion/Duplication Detection Reagents']
C4728406	['Alzheimer Disease Gene Anomaly Detection Reagents']
C4728407	["Alzheimer's Disease (AD) Gene Anomaly Detection Reagents"]
C4728408	['Cardiovascular Disease Gene Anomaly Detection Reagents']
C4728409	['Cardiovascular Disease Risk Factor Gene Anomaly Detection Reagents']
C4728410	['Disorder of Cardiovascular System Gene Anomaly Detection Reagents']
C4728411	['Early-Onset Familial Alzheimer Disease Gene Anomaly Detection Reagents']
C4728412	['Microvascular Complications of Diabetes 3 (MVCD3) Gene Anomaly Detection Reagents']
C4728413	['Primitive Renal Tubule Syndrome Gene Anomaly Detection Reagents']
C4728414	['Renal Dysplasia Gene Anomaly Detection Reagents']
C4728415	['Renal Tubular Dysgenesis (RTD) Gene Anomaly Detection Reagents']
C4728416	['Susceptibility to Diabetic End-Stage Renal Disease Gene Anomaly Detection Reagents']
C4728417	['Susceptibility to Diabetic Nephropathy Gene Anomaly Detection Reagents']
C4728418	['Susceptibility to Hemorrhagic Stroke Gene Anomaly Detection Reagents']
C4728419	['Susceptibility to Intracerebral Hemorrhage (ICH) Gene Anomaly Detection Reagents']
C4728420	['ACADS Mutation Detection Reagents']
C4728421	['Acyl-CoA Dehydrogenase, C-2 to C-3 Short Chain Mutation Detection Reagents']
C4728422	['ACE Mutation Detection Reagents']
C4728423	['Angiotensin I Converting Enzyme Mutation Detection Reagents']
C4728424	['ACADVL Mutation Detection Reagents']
C4728425	['Acyl-CoA Dehydrogenase, Very Long Chain Mutation Detection Reagents']
C4728426	['ACTA2 Mutation Detection Reagents']
C4728427	['Actin, Alpha 2, Smooth Muscle, Aorta Mutation Detection Reagents']
C4728428	['AAT6 Mutation Detection Reagents']
C4728429	['Congenital Mydriasis with Patent Ductus Arteriosus, Thoracic Aortic Aneurysm, and Vasculopathy Gene Anomaly Detection Reagents']
C4728430	['Familial Thoracic Aortic Aneurysm 6 Gene Anomaly Detection Reagents']
C4728431	['Familial Thoracic Aortic Aneurysm with Livedo Reticularis and Iris Flocculi Gene Anomaly Detection Reagents']
C4728432	['Moyamoya Disease 5 (MYMY5) Gene Anomaly Detection Reagents']
C4728433	['Multisystemic Smooth Muscle Dysfunction Syndrome Gene Anomaly Detection Reagents']
C4728434	['ACTA2 Deletion/Duplication Detection Reagents']
C4728435	['Actin, Alpha 2, Smooth Muscle, Aorta Deletion/Duplication Detection Reagents']
C4728436	['AAT6 Deletion/Duplication Detection Reagents']
C4728437	['ACTC1 Mutation Detection Reagents']
C4728438	['Actin, Alpha, Cardiac Muscle 1 Mutation Detection Reagents']
C4728439	['Atrial Septal Defect 5 (ASD5) Gene Anomaly Detection Reagents']
C4728440	['Congestive Cardiomyopathy Gene Anomaly Detection Reagents']
C4728441	['Dilated Cardiomyopathy (DCM) Gene Anomaly Detection Reagents']
C4728442	['Dilated Cardiomyopathy 1R (CMD1R) Gene Anomaly Detection Reagents']
C4728443	['Familial Hypertrophic Cardiomyopathy 11 (CMH11) Gene Anomaly Detection Reagents']
C4728444	['Familial Hypertrophic Cardiomyopathy Gene Anomaly Detection Reagents']
C4728445	['Primary Dilated Cardiomyopathy Gene Anomaly Detection Reagents']
C4728446	['ACTC1 Deletion/Duplication Detection Reagents']
C4728447	['Actin, Alpha, Cardiac Muscle 1 Deletion/Duplication Detection Reagents']
C4728448	['Dilated Cardiomyopathy (DCMF) Gene Anomaly Detection Reagents']
C4728449	['ACTN4 Mutation Detection Reagents']
C4728450	['Actinin Alpha 4 Mutation Detection Reagents']
C4728451	['Focal Segmental Glomerulosclerosis 1 (FSGS1) Gene Anomaly Detection Reagents']
C4728452	['Focal Segmental Glomerulosclerosis Gene Anomaly Detection Reagents']
C4728453	['ACVR1 Mutation Detection Reagents']
C4728454	['Activin A Receptor Type I Mutation Detection Reagents']
C4728455	['Fibrodysplasia Ossificans Progressiva (FOP) Gene Anomaly Detection Reagents']
C4728456	['Myositis Ossificans Progressiva Gene Anomaly Detection Reagents']
C4728457	['Progressive Myositis Ossificans Gene Anomaly Detection Reagents']
C4728458	['Progressive Ossifying Myositis Gene Anomaly Detection Reagents']
C4728459	['ACVR1 Deletion/Duplication Detection Reagents']
C4728460	['Activin A Receptor Type I Deletion/Duplication Detection Reagents']
C4728461	['ADRB2 Mutation Detection Reagents']
C4728462	['Adrenoceptor Beta 2 Mutation Detection Reagents']
C4728463	['Bronchial Asthma Gene Anomaly Detection Reagents']
C4728464	['Early Onset Obesity Gene Anomaly Detection Reagents']
C4728465	['Obesity Gene Anomaly Detection Reagents']
C4728466	['Susceptibility to Asthma Gene Anomaly Detection Reagents']
C4728467	['Susceptibility to Asthma-Related Traits Gene Anomaly Detection Reagents']
C4728468	['Susceptibility to Obesity Gene Anomaly Detection Reagents']
C4728469	['AFF2 Mutation Detection Reagents']
C4728470	['AF4/FMR2 Family Member 2 Mutation Detection Reagents']
C4728471	['FRAXE Gene Anomaly Detection Reagents']
C4728472	['FRAXE Mental Retardation Syndrome Gene Anomaly Detection Reagents']
C4728473	['Folic Acid Type Fragile Site Gene Anomaly Detection Reagents']
C4728474	['Fragile XE Syndrome Gene Anomaly Detection Reagents']
C4728475	['X-Linked Intellectual Disability Gene Anomaly Detection Reagents']
C4728477	['AFF2 Deletion/Duplication Detection Reagents']
C4728478	['AF4/FMR2 Family Member 2 Deletion/Duplication Detection Reagents']
C4728479	['AFG3L2 Mutation Detection Reagents']
C4728480	['AFG3-Like Matrix AAA Peptidase Subunit 2 Mutation Detection Reagents']
C4728481	['Autosomal Recessive Spastic Ataxia 5 (SPAX5) Gene Anomaly Detection Reagents']
C4728482	['Spinocerebellar Ataxia 28 (SCA28) Gene Anomaly Detection Reagents']
C4728483	['Spinocerebellar Ataxia Gene Anomaly Detection Reagents']
C4728484	['Spinocerebellar Ataxia Type 28 Gene Anomaly Detection Reagents']
C4728485	['AFG3L2 Deletion/Duplication Detection Reagents']
C4728486	['AFG3-Like Matrix AAA Peptidase Subunit 2 Deletion/Duplication Detection Reagents']
C4728487	['AGL Mutation Detection Reagents']
C4728488	['Amylo-Alpha-1, 6-Glucosidase, 4-Alpha-Glucanotransferase Mutation Detection Reagents']
C4728489	['Amylo-1,6-Glucosidase Deficiency Gene Anomaly Detection Reagents']
C4728490	['Cori Disease Gene Anomaly Detection Reagents']
C4728491	['Forbes Disease Gene Anomaly Detection Reagents']
C4728492	['GDE Deficiency Gene Anomaly Detection Reagents']
C4728493	['Glycogen Debrancher Deficiency Gene Anomaly Detection Reagents']
C4728494	['Glycogen Storage Disease Gene Anomaly Detection Reagents']
C4728495	['Glycogen Storage Disease III Gene Anomaly Detection Reagents']
C4728496	['Glycogen Storage Disease Type 3 (GSD3) Gene Anomaly Detection Reagents']
C4728497	['Glycogen Storage Disease Type III Gene Anomaly Detection Reagents']
C4728498	['Limit Dextrinosis Gene Anomaly Detection Reagents']
C4728499	['AGL Deletion/Duplication Detection Reagents']
C4728500	['Amylo-Alpha-1, 6-Glucosidase, 4-Alpha-Glucanotransferase Deletion/Duplication Detection Reagents']
C4728501	['Angiotensin II Receptor Type 1 Mutation Detection Reagents']
C4728502	['Essential Hypertension (EHT) Gene Anomaly Detection Reagents']
C4728503	['AHI1 Mutation Detection Reagents']
C4728504	['Abelson Helper Integration Site 1 Mutation Detection Reagents']
C4728505	['Joubert Syndrome 3 (JBTS3) Gene Anomaly Detection Reagents']
C4728506	['Joubert Syndrome Gene Anomaly Detection Reagents']
C4728507	['Joubert Syndrome with Ocular Anomalies Gene Anomaly Detection Reagents']
C4728508	['AHI1 Deletion/Duplication Detection Reagents']
C4728509	['Abelson Helper Integration Site 1 Deletion/Duplication Detection Reagents']
C4728510	['AIRE Mutation Detection Reagents']
C4728511	['Autoimmune Regulator Mutation Detection Reagents']
C4728512	['Autoimmune Polyendocrine Syndrome Type 1 (APS 1) Gene Anomaly Detection Reagents']
C4728513	['Autoimmune Polyendocrinopathy Syndrome Type 1 (APS I) Gene Anomaly Detection Reagents']
C4728514	['Autoimmune Polyendocrinopathy-Candidiasis-Ectodermal Dystrophy (APECED) Gene Anomaly Detection Reagents']
C4728515	['Hypoadrenocorticism with Hypoparathyroidism and Superficial Moniliasis Gene Anomaly Detection Reagents']
C4728516	['Type 1 Polyglandular Autoimmune (PGA 1) Syndrome Gene Anomaly Detection Reagents']
C4728517	['Whitaker Syndrome Gene Anomaly Detection Reagents']
C4728518	['AIRE Deletion/Duplication Detection Reagents']
C4728519	['Autoimmune Regulator Deletion/Duplication Detection Reagents']
C4728520	['ALDH7A1 Mutation Detection Reagents']
C4728521	['Aldehyde Dehydrogenase 7 Family Member A1 Mutation Detection Reagents']
C4728522	['Pyridoxine Dependency Gene Anomaly Detection Reagents']
C4728523	['Pyridoxine Dependency with Seizures Gene Anomaly Detection Reagents']
C4728524	['Pyridoxine-Dependent Epilepsy (EPD) Gene Anomaly Detection Reagents']
C4728525	['Pyridoxine-Dependent Seizures Gene Anomaly Detection Reagents']
C4728526	['Vitamin B6-Dependent Seizures Gene Anomaly Detection Reagents']
C4728527	['ALDH7A1 Deletion/Duplication Detection Reagents']
C4728528	['Aldehyde Dehydrogenase 7 Family Member A1 Deletion/Duplication Detection Reagents']
C4728530	['ANG Mutation Detection Reagents']
C4728531	['Angiogenin, Ribonuclease, RNase A Family, 5 Mutation Detection Reagents']
C4728532	['Amyotrophic Lateral Sclerosis (ALS) Gene Anomaly Detection Reagents']
C4728533	['Amyotrophic Lateral Sclerosis Type 9 (ALS9) Gene Anomaly Detection Reagents']
C4728534	['ANG Deletion/Duplication Detection Reagents']
C4728535	['Angiogenin, Ribonuclease, Rnase A Family, 5 Deletion/Duplication Detection Reagents']
C4728536	['ANKRD1 Mutation Detection Reagents']
C4728537	['Ankyrin Repeat Domain 1 Mutation Detection Reagents']
C4728538	['ANO5 Mutation Detection Reagents']
C4728539	['Anoctamin 5 Mutation Detection Reagents']
C4728540	['Gnathodiaphyseal Dysplasia (GDD) Gene Anomaly Detection Reagents']
C4728541	['Gnathodiaphyseal Sclerosis Gene Anomaly Detection Reagents']
C4728542	['Levin Syndrome 2 Gene Anomaly Detection Reagents']
C4728543	['Limb-Girdle Muscular Dystrophy (LGMD) Gene Anomaly Detection Reagents']
C4728544	['Limb-Girdle Muscular Dystrophy Type 2L (LGMD2L) Gene Anomaly Detection Reagents']
C4728545	['Miyoshi Muscular Dystrophy 3 (MMD3) Gene Anomaly Detection Reagents']
C4728546	['Miyoshi Myopathy 3 Gene Anomaly Detection Reagents']
C4728547	['Osteogenesis Imperfecta Levin Type Gene Anomaly Detection Reagents']
C4728548	['Osteogenesis Imperfecta with Unusual Skeletal Lesions Gene Anomaly Detection Reagents']
C4728549	['ANO5 Deletion/Duplication Detection Reagents']
C4728550	['Anoctamin 5 Deletion/Duplication Detection Reagents']
C4728551	['APC Deletion/Duplication Detection Reagents']
C4728552	['Adenomatous Polyposis Coli Deletion/Duplication Detection Reagents']
C4728553	['APC-Associated Polyposis Conditions Gene Anomaly Detection Reagents']
C4728554	['Adeno matous Intestinal Polyposis Gene Anomaly Detection Reagents']
C4728555	['Carcinoma of Colon Gene Anomaly Detection Reagents']
C4728556	['Colon Cancer Gene Anomaly Detection Reagents']
C4728557	['Colonic Carcinoma Gene Anomaly Detection Reagents']
C4728558	['Colorectal Cancer (CRC) Gene Anomaly Detection Reagents']
C4728559	['Familial Adenomatous Polyposis 1 (FAP1) Gene Anomaly Detection Reagents']
C4728560	['Familial Infiltrative Fibromatosis (FIF) Gene Anomaly Detection Reagents']
C4728561	['Hepatocellular Cancer Gene Anomaly Detection Reagents']
C4728562	['Hepatocellular Carcinoma (HCC) Gene Anomaly Detection Reagents']
C4728563	['Hepatoma Gene Anomaly Detection Reagents']
C4728564	['Hereditary Desmoid Disease Gene Anomaly Detection Reagents']
C4728565	['Liver Cancer Gene Anomaly Detection Reagents']
C4728566	['Liver Cell Carcinoma Gene Anomaly Detection Reagents']
C4728567	['Neoplasm of Stomach Gene Anomaly Detection Reagents']
C4728568	['Primary Carcinoma of Liver Gene Anomaly Detection Reagents']
C4728569	['Rectal Cancer Gene Anomaly Detection Reagents']
C4728570	['APOB Mutation Detection Reagents']
C4728571	['Apolipoprotein B Mutation Detection Reagents']
C4728572	['Acanthocytosis with Hypobetalipoproteinemia Gene Anomaly Detection Reagents']
C4728573	['Autosomal Dominant Hypercholesterolemia Type B Gene Anomaly Detection Reagents']
C4728574	['Familial Defective Apolipoprotein B-100 Gene Anomaly Detection Reagents']
C4728575	['Familial Hypercholesterolemia Due to Ligand-Defective Apolipoprotein B Gene Anomaly Detection Reagents']
